zip,houseprice,ces,testscore,transitscore
95207,283121,39.12916667,2464.8,3.3
95212,392009,41.42,2650.4,0.6
95215,262799,46.67,2397.3,3.4
95231,375542,56.15,2392.5,2.5
95236,495701,22.26,2560.5,0
95240,329078,33.50076923,2434.4,4.3
95242,405945,18.67714286,2406.2,0.6
95303,381815,55.14,2373.2,0.8
95315,269529,40.49,2404.7,2
95316,386989,31.305,2367.8,1.9
95320,414925,35.98,2424.7,1.3
95322,295930,52.13,2460.2,1.1
95324,305831,35.31,2487.7,0
95326,384533,40.84,2520.7,1
95333,209456,39.48,2379.8,1.3
95334,271007,43.3,2380,2
95351,245780,59.088,2349.9,5.3
95356,366994,35.10571429,2583.5,0.8
95357,348368,43.252,2525.2,2.4
95360,304818,41.745,2389.4,1.4
95361,398061,37.4925,2460.6,0.4
95363,378063,44.58666667,2413.6,0.7
95366,483850,29.25666667,2471.9,0.7
95374,416048,41.17,2361.6,0
95388,222113,42.835,2425.6,3
95616,705360,14.16,2463.2,6.4
95670,342478,30.18357143,2427.2,4.2
95688,519567,20.72125,2479.8,0.1
95694,442263,18.64,2432.5,1.7
95757,482573,16.37666667,2448.4,2.5
95823,283196,35.79846154,2424.6,6.6
95829,408979,22.602,2501.2,1.3
95832,268016,39.08,2450.1,3.7
95917,231846,27.26,2576.4,0.8
95942,306485,13.45,2443.6,0
95948,234051,23.85666667,2444.3,1.2
95953,263799,26.75666667,2541.3,5.5
95965,219685,29.98857143,2531.9,0.3
95973,385448,14.85444444,2451.3,1.3
