,RegionName,House Price 01-2019,AVERAGE_INSPECTION_SCORE,CES 3.0 Score,County Name,Percent of resident workers who commute by transit,Violent,Mean Scale Score
0,90001.0,393394.0,91.11111110999992,63.794375000000045,Los Angeles County,0.0654185250000001,583.400000000001,2505.3351566998463
1,90002.0,389074.0,91.11111110999994,58.86250000000002,Los Angeles County,0.06541852500000009,583.4000000000009,2505.33515669985
2,90003.0,404962.0,91.11111110999994,63.18399999999999,Los Angeles County,0.06541852500000009,583.4000000000008,2505.3351566998504
3,90004.0,1169838.0,91.11111110999992,42.315294117647014,Los Angeles County,0.0654185250000001,583.4000000000007,2505.335156699844
4,90005.0,841408.0,91.11111110999992,34.39571428571426,Los Angeles County,0.0654185250000001,583.4000000000009,2505.335156699849
5,90006.0,727495.0,91.11111110999992,43.99999999999999,Los Angeles County,0.0654185250000001,583.400000000001,2505.335156699848
6,90007.0,703364.0,91.11111110999992,48.39714285714286,Los Angeles County,0.0654185250000001,583.4000000000009,2505.335156699849
7,90008.0,837472.0,91.11111110999995,44.06285714285715,Los Angeles County,0.06541852500000007,583.4000000000005,2505.3351566998504
8,90010.0,930681.0,91.11111111000001,32.37,Los Angeles County,0.065418525,583.4,2505.3351566998494
9,90011.0,428375.0,91.11111110999992,58.654285714285706,Los Angeles County,0.0654185250000001,583.3999999999994,2505.3351566998394
10,90012.0,588745.0,91.11111110999994,47.58999999999999,Los Angeles County,0.06541852500000009,583.4000000000007,2505.3351566998504
11,90013.0,613732.0,91.11111110999997,57.226666666666674,Los Angeles County,0.06541852500000003,583.3999999999999,2505.3351566998504
12,90015.0,687422.0,91.11111110999994,47.461666666666645,Los Angeles County,0.06541852500000007,583.4000000000003,2505.3351566998513
13,90016.0,786609.0,91.11111110999994,53.705833333333324,Los Angeles County,0.06541852500000009,583.4000000000009,2505.33515669985
14,90017.0,721816.0,91.11111110999994,47.06249999999999,Los Angeles County,0.06541852500000009,583.4000000000007,2505.3351566998504
15,90018.0,739062.0,91.11111110999992,47.659333333333336,Los Angeles County,0.0654185250000001,583.400000000001,2505.335156699848
16,90019.0,1072096.0,91.11111110999992,41.77999999999998,Los Angeles County,0.0654185250000001,583.400000000001,2505.3351566998463
17,90020.0,672257.0,91.11111110999994,30.243636363636373,Los Angeles County,0.06541852500000009,583.4000000000008,2505.33515669985
18,90021.0,649322.0,91.11111110999997,67.15666666666667,Los Angeles County,0.06541852500000003,583.3999999999999,2505.3351566998504
19,90022.0,468868.0,91.11111110999992,52.47769230769231,Los Angeles County,0.0654185250000001,583.4000000000009,2505.33515669985
20,90023.0,441514.0,91.11111110999992,67.27000000000001,Los Angeles County,0.0654185250000001,583.4000000000009,2505.33515669985
21,90024.0,1341846.0,91.11111110999994,21.049090909090904,Los Angeles County,0.06541852500000009,583.4000000000008,2505.33515669985
22,90025.0,1060212.0,91.11111110999994,27.308999999999987,Los Angeles County,0.06541852500000009,583.4000000000008,2505.3351566998504
23,90026.0,876641.0,91.11111110999992,44.81428571428579,Los Angeles County,0.0654185250000001,583.3999999999994,2505.3351566998394
24,90027.0,1315083.0,91.11111110999992,37.299333333333344,Los Angeles County,0.0654185250000001,583.400000000001,2505.335156699848
25,90028.0,831723.0,91.11111110999994,48.89888888888886,Los Angeles County,0.06541852500000009,583.4000000000007,2505.3351566998504
26,90029.0,928232.0,91.11111110999994,46.61,Los Angeles County,0.06541852500000009,583.4000000000008,2505.3351566998504
27,90031.0,652288.0,91.11111110999994,50.029000000000025,Los Angeles County,0.06541852500000009,583.4000000000008,2505.3351566998504
28,90032.0,621819.0,91.11111110999992,39.412307692307714,Los Angeles County,0.0654185250000001,583.4000000000009,2505.33515669985
29,90033.0,514368.0,91.11111110999994,56.95416666666667,Los Angeles County,0.06541852500000009,583.4000000000009,2505.33515669985
30,90034.0,1300292.0,91.11111110999992,32.07588235294116,Los Angeles County,0.0654185250000001,583.4000000000007,2505.335156699844
31,90035.0,1462782.0,91.11111110999994,26.545000000000005,Los Angeles County,0.06541852500000009,583.4000000000007,2505.3351566998504
32,90036.0,1668428.0,91.11111110999994,18.952000000000005,Los Angeles County,0.06541852500000009,583.4000000000008,2505.3351566998504
33,90037.0,489214.0,91.11111110999992,52.085714285714275,Los Angeles County,0.0654185250000001,583.4000000000009,2505.335156699849
34,90038.0,1003527.0,91.11111110999994,48.0875,Los Angeles County,0.06541852500000009,583.4000000000007,2505.3351566998504
35,90039.0,934444.0,91.11111110999995,45.640000000000015,Los Angeles County,0.06541852500000007,583.4000000000005,2505.3351566998504
36,90040.0,455605.0,91.11111111,66.15500000000002,Los Angeles County,0.065418525,583.3999999999999,2505.33515669985
37,90041.0,863883.0,91.11111110999994,24.78,Los Angeles County,0.06541852500000009,583.4000000000007,2505.3351566998504
38,90042.0,781608.0,91.11111110999992,31.165625,Los Angeles County,0.0654185250000001,583.400000000001,2505.3351566998463
39,90043.0,669190.0,91.11111110999994,41.55454545454546,Los Angeles County,0.06541852500000009,583.4000000000008,2505.33515669985
40,90044.0,444721.0,91.11111110999992,49.37653846153844,Los Angeles County,0.0654185250000001,583.3999999999984,2505.335156699843
41,90045.0,1203753.0,91.11111110999994,26.04100000000001,Los Angeles County,0.06541852500000009,583.4000000000008,2505.3351566998504
42,90046.0,1323987.0,91.11111110999992,24.409230769230778,Los Angeles County,0.0654185250000001,583.4000000000009,2505.33515669985
43,90047.0,503730.0,91.11111110999994,47.92555555555556,Los Angeles County,0.06541852500000009,583.4000000000007,2505.3351566998504
