zip,houseprice,ces,county,pctbytransit,crime,testscore
91941,621013,15.62444444,San Diego County,0.029839043,340,2511.6
91945,459446,26.48166667,San Diego County,0.029839043,340,2486.9
91977,461803,21.5725,San Diego County,0.029839043,340,2423.2
91978,524270,12.595,San Diego County,0.029839043,340,2445
92008,891458,12.015,San Diego County,0.029839043,340,2508.8
92020,526568,30.41785714,San Diego County,0.029839043,340,2431
92021,481583,22.324,San Diego County,0.029839043,340,2432
92024,1089514,9.5875,San Diego County,0.029839043,340,2523
92025,530848,22.73727273,San Diego County,0.029839043,340,2480.8
92027,473153,18.33545455,San Diego County,0.029839043,340,2482.9
92028,576452,18.9,San Diego County,0.029839043,340,2474.8
92037,1550927,7.154615385,San Diego County,0.029839043,340,2597.7
92040,501224,16.31666667,San Diego County,0.029839043,340,2412.3
92064,720692,8.835,San Diego County,0.029839043,340,2468.6
92071,502395,14.335,San Diego County,0.029839043,340,2514.7
92102,456129,37.63909091,San Diego County,0.029839043,340,2410.6
92105,436949,28.92714286,San Diego County,0.029839043,340,2474.1
92113,403247,54.84230769,San Diego County,0.029839043,340,2471.9
92114,441004,22.28142857,San Diego County,0.029839043,340,2511.3
92117,669283,16.45777778,San Diego County,0.029839043,340,2519.633333
92122,694886,10.40125,San Diego County,0.029839043,340,2484
92123,595382,21.12857143,San Diego County,0.029839043,340,2435.35
92124,637536,12.815,San Diego County,0.029839043,340,2469.3
92154,461806,26.115,San Diego County,0.029839043,340,2431.7
92220,264337,29.31,Riverside County,0.0133399,305.8,2392.1
92223,345541,29.615,Riverside County,0.0133399,305.8,2545
92227,230478,41.218,Imperial County,0.009092499,332.9,2489.775
92231,230150,45.58,Imperial County,0.009092499,332.9,2439.180882
92233,120190,44.35,Imperial County,0.009092499,332.9,2489.657143
92240,219158,15.32875,Riverside County,0.0133399,305.8,2400.1
92243,227641,40.72454545,Imperial County,0.009092499,332.9,2480.14252
92250,201380,36.72,Imperial County,0.009092499,332.9,2524.796154
92251,271866,37.09,Imperial County,0.009092499,332.9,2511.435
92270,513809,8.564,Riverside County,0.0133399,305.8,2484.2
92277,132853,17.134,San Bernardino County,0.015740008,472.2,2407.5
92301,227350,37.855,San Bernardino County,0.015740008,472.2,2394.4
92314,275717,18.53833333,San Bernardino County,0.015740008,472.2,2457.4
92324,308116,50.65583333,San Bernardino County,0.015740008,472.2,2411.9
92335,355261,48.700625,San Bernardino County,0.015740008,472.2,2467.966667
92336,463466,32.40375,San Bernardino County,0.015740008,472.2,2504.7
92337,388046,37.768,San Bernardino County,0.015740008,472.2,2415
92345,262516,28.45928571,San Bernardino County,0.015740008,472.2,2461.4
92346,347973,29.03285714,San Bernardino County,0.015740008,472.2,2459.7
92374,381116,33.00888889,San Bernardino County,0.015740008,472.2,2448.4
92394,254213,33.92333333,San Bernardino County,0.015740008,472.2,2404.3
92395,243488,37.23666667,San Bernardino County,0.015740008,472.2,2415.7
92405,270333,59.6025,San Bernardino County,0.015740008,472.2,2348.2
92407,336041,38.385,San Bernardino County,0.015740008,472.2,2451.6
92408,287126,64.105,San Bernardino County,0.015740008,472.2,2442.3
92411,253537,55.354,San Bernardino County,0.015740008,472.2,2448.7
92501,355893,61.1325,Riverside County,0.0133399,305.8,2457.2
92503,408304,43.20647059,Riverside County,0.0133399,305.8,2464.525
92507,381176,49.65363636,Riverside County,0.0133399,305.8,2446.7
92532,407285,26.75,Riverside County,0.0133399,305.8,2493.55
92539,283336,16.25,Riverside County,0.0133399,305.8,2520.1
92544,280827,28.79818182,Riverside County,0.0133399,305.8,2395.3
92549,330317,27.59,Riverside County,0.0133399,305.8,2535.4
92551,327569,44.80666667,Riverside County,0.0133399,305.8,2478.9
92553,312746,45.825625,Riverside County,0.0133399,305.8,2410.4
92555,390518,33.23222222,Riverside County,0.0133399,305.8,2454.8
92557,352420,33.0525,Riverside County,0.0133399,305.8,2533.4
92570,341877,49.66,Riverside County,0.0133399,305.8,2448.833333
92571,322608,37.71166667,Riverside County,0.0133399,305.8,2353.5
92584,405494,20.16125,Riverside County,0.0133399,305.8,2469.25
92586,263684,19.93666667,Riverside County,0.0133399,305.8,2463.6
92592,494622,15.615,Riverside County,0.0133399,305.8,2480
92596,446024,18.548,Riverside County,0.0133399,305.8,2443.3
92860,563925,27.03285714,Riverside County,0.0133399,305.8,2574.5
92882,506531,25.602,Riverside County,0.0133399,305.8,2492.45
93003,592000,18.181,Ventura County,0.01328643,261.5,2479
93004,582369,20.4725,Ventura County,0.01328643,261.5,2452.4
93010,631366,17.15444444,Ventura County,0.01328643,261.5,2483.45
93021,668072,16.725,Ventura County,0.01328643,261.5,2444.3
93030,512622,41.25555556,Ventura County,0.01328643,261.5,2480.1
93036,505839,21.92857143,Ventura County,0.01328643,261.5,2429.05
93065,594146,15.95,Ventura County,0.01328643,261.5,2455.9
93066,1053830,21.16,Ventura County,0.01328643,261.5,2449.7
93203,180953,39.5925,Kern County,0.009237233,555.1,2459.5975
